Date,Close/Last,Volume,Open,High,Low
01/05/2018,$18.265,2934072,$18.535,$18.575,$18.18
01/04/2018,$18.625,3765410,$18.645,$18.685,$18.3925
01/03/2018,$18.575,4513884,$18.35,$18.6605,$18.32
01/02/2018,$18.27,4140180,$17.625,$18.32,$17.495
12/29/2017,$17.86,2698038,$18.00,$18.00,$17.795
12/28/2017,$17.945,3877722,$17.795,$17.95,$17.765
12/27/2017,$17.76,2823526,$17.72,$17.795,$17.615
12/26/2017,$17.865,3851082,$17.42,$17.985,$17.385
12/22/2017,$17.375,3037324,$17.385,$17.41,$17.19
12/21/2017,$17.415,2689300,$17.15,$17.46,$17.055
12/20/2017,$17.115,2721022,$17.005,$17.15,$16.82
12/19/2017,$16.90,4415686,$16.85,$17.035,$16.805
12/18/2017,$16.85,3829482,$16.645,$17.015,$16.575
12/15/2017,$16.53,5818640,$16.935,$16.96,$16.515
12/14/2017,$16.825,4626836,$16.84,$17.1275,$16.785
12/13/2017,$16.915,6462824,$17.185,$17.33,$16.8981
12/12/2017,$17.21,5456072,$17.345,$17.4025,$17.1125
12/11/2017,$17.305,3327746,$17.195,$17.39,$17.155
12/08/2017,$17.425,2468354,$17.445,$17.465,$17.255
12/07/2017,$17.285,3194492,$17.235,$17.3925,$17.20
12/06/2017,$17.27,3285054,$17.50,$17.63,$17.235
12/05/2017,$17.575,3196638,$17.465,$17.725,$17.425
12/04/2017,$17.425,5398060,$17.575,$17.7275,$17.3625
12/01/2017,$17.62,6107592,$17.30,$17.80,$17.23
11/30/2017,$16.96,5330630,$16.705,$17.145,$16.70
11/29/2017,$16.635,4328206,$16.59,$16.795,$16.48
11/28/2017,$16.68,5793364,$16.80,$16.92,$16.675
11/27/2017,$16.765,5864432,$17.245,$17.275,$16.74
11/24/2017,$17.35,1117638,$17.41,$17.465,$17.33
11/22/2017,$17.30,2975778,$17.36,$17.505,$17.29
11/21/2017,$17.145,2894564,$17.125,$17.225,$17.02
11/20/2017,$16.99,4643198,$17.34,$17.39,$16.8025
11/17/2017,$17.435,3035178,$17.565,$17.625,$17.335
11/16/2017,$17.47,3308074,$17.425,$17.565,$17.355
11/15/2017,$17.405,4456168,$17.035,$17.58,$16.945
11/14/2017,$17.21,5637428,$17.92,$17.92,$17.16
11/13/2017,$18.03,2624538,$18.165,$18.2405,$17.94
11/10/2017,$18.26,4143360,$18.18,$18.355,$18.165
11/09/2017,$18.225,4581150,$18.21,$18.31,$18.085
11/08/2017,$18.275,3597334,$18.095,$18.33,$18.01
11/07/2017,$18.09,4931526,$18.29,$18.395,$18.01
11/06/2017,$18.365,6013982,$17.995,$18.3925,$17.955
11/03/2017,$18.01,4790304,$17.74,$18.045,$17.655
11/02/2017,$17.64,5575438,$17.48,$17.775,$17.27
11/01/2017,$17.51,5846532,$17.52,$17.645,$17.2975
10/31/2017,$17.45,4125098,$17.315,$17.625,$17.29
10/30/2017,$17.40,5436066,$16.905,$17.445,$16.875
10/27/2017,$16.915,3686648,$16.31,$16.93,$16.21
10/26/2017,$16.415,3187100,$16.25,$16.42,$16.25
10/25/2017,$16.24,2341820,$16.205,$16.31,$16.055
10/24/2017,$16.275,2730856,$16.395,$16.535,$16.265
10/23/2017,$16.27,2575270,$16.495,$16.65,$16.26
10/20/2017,$16.51,1676988,$16.475,$16.54,$16.4045
10/19/2017,$16.545,1667452,$16.525,$16.73,$16.48
10/18/2017,$16.605,1847004,$16.615,$16.7067,$16.555
10/17/2017,$16.63,2795254,$16.585,$16.66,$16.435
10/16/2017,$16.585,3128712,$16.58,$16.695,$16.525
10/13/2017,$16.50,4047076,$16.49,$16.605,$16.39
10/12/2017,$16.30,2843078,$16.435,$16.475,$16.29
10/11/2017,$16.655,4840294,$16.56,$16.67,$16.4125
10/10/2017,$16.59,3033962,$16.615,$16.80,$16.575
10/09/2017,$16.495,1102516,$16.505,$16.5425,$16.39
10/06/2017,$16.385,2613006,$16.515,$16.555,$16.345
10/05/2017,$16.705,3538706,$16.755,$16.825,$16.685
10/04/2017,$16.785,2500852,$16.91,$16.975,$16.765
10/03/2017,$16.92,2949056,$16.795,$16.9675,$16.755
10/02/2017,$16.82,2777514,$16.46,$16.83,$16.46
09/29/2017,$16.745,3355658,$17.015,$17.03,$16.74
09/28/2017,$17.05,3381626,$17.155,$17.175,$17.01
09/27/2017,$17.125,7288824,$17.07,$17.14,$17.00
09/26/2017,$17.01,3892096,$17.04,$17.1725,$17.00
09/25/2017,$17.12,2984040,$17.13,$17.2087,$17.09
09/22/2017,$17.045,2542830,$17.075,$17.245,$17.03
09/21/2017,$17.10,2430760,$16.77,$17.105,$16.715
09/20/2017,$16.80,4077766,$16.62,$17.01,$16.605
09/19/2017,$16.50,1957412,$16.44,$16.585,$16.35
09/18/2017,$16.39,2552674,$16.405,$16.485,$16.27
09/15/2017,$16.425,3675282,$16.525,$16.56,$16.36
09/14/2017,$16.49,4145778,$16.485,$16.61,$16.44
09/13/2017,$16.515,4323422,$16.12,$16.545,$16.12
09/12/2017,$16.065,3359792,$16.06,$16.185,$15.995
09/11/2017,$16.095,3165668,$16.15,$16.23,$16.05
09/08/2017,$16.135,2020054,$16.345,$16.35,$16.04
09/07/2017,$16.35,2747568,$16.40,$16.45,$16.285
09/06/2017,$16.365,3577922,$15.94,$16.395,$15.84
09/05/2017,$15.86,3412368,$15.75,$15.905,$15.66
09/01/2017,$15.62,4837878,$15.49,$15.6725,$15.375
08/31/2017,$15.41,4931406,$15.305,$15.42,$15.165
08/30/2017,$15.195,5075064,$15.45,$15.45,$15.195
